skillsID,skills
75701174-2447-4ade-ad50-957bcd9c4261,Design
d9286685-ffd8-4201-873e-a67db37947c4,Empathy
cdd88c91-866e-4beb-93f2-6a8f4a530034,Experience Design
ab615ff1-b906-4679-92e7-475f928e725d,Ideation
c31d237f-73af-43e9-b6ee-a9afb312616c,User-Centered Design
b26a3a24-126f-4847-8a92-c6322f4796db,User-Centric
a64e4f71-f4bc-4dd0-917b-14ca44aee6cf,User Experience
45def466-1509-450a-87fb-a54264b4d2ea,User Research
b1e3f469-552a-46ba-9b84-f45a79f38598,UX
377d1202-560c-467b-b263-3bbb637667a4,Agile
0392d2c0-68b1-485e-9a54-5602f9a005ea,Agile Kanban
39fedb90-2db0-437b-9f0a-4a48dc44d9f9,Agile Operations
6c664cb3-80e9-4c2d-9060-3a73f3ae22d2,Collaboration
6cc6662b-3d57-4c77-a515-a5a837531996,Flexible
c99c8680-2ab3-44df-9102-841898c17dae,Iterations
0f1df4c3-db25-4cad-b2db-c494b1a4e2fa,Sprints
fc51e4c4-331b-4bf3-87bd-e6ec213052be,Team
89e51f17-a396-4819-8e0d-e0eb64e8cc5f,AI
c04d3d08-8f9f-4564-a295-9fc7becdaec6,Artificial Intelligence
19977a6a-1e25-435f-92b4-25682d97cb34,Critical Listening
33cf92f4-db6e-49dd-a5b7-b59093ae994f,Critical Reading
21a7a83d-a7e0-4f9a-b782-5870dfde1830,Data Science
5641b2ad-00af-4955-b684-f2d272d08af9,Machine Learning
21a7a83d-a7e0-4f9a-b782-5870dfde1830,Data Science
316ef5d3-4832-496a-81d3-4b21fc44fd0a,Pandas
94c11ea3-cc1b-4177-9f1e-f98291a69850,Python
66961257-3068-4b62-b4b1-9acd1769cce8,Python Programming
21a7a83d-a7e0-4f9a-b782-5870dfde1830,Data Science
0b54b632-cb17-4a34-a313-5405284c8f04,Data Scientist Workbench
d0902734-09c5-449d-a194-9a4bfddeadd9,Dswb
94c11ea3-cc1b-4177-9f1e-f98291a69850,Python
dfdc1435-1c76-4a47-a367-6896304b58cc,R
f161de17-67bc-4208-9364-7d6a4e65c663,R Programming
63c961de-519b-4a15-8f63-08aeac5fdfd0,Scala
bc479ada-b579-4d6e-8a70-11faa7aa65a6,Statistics
ac74afa2-899c-4387-a0dc-0c2275f77fcc,Big Data
82099008-183c-4982-9d80-8e2c5a113b3c,Hadoop
