typeID,title,type,url,image,skillsID
CSRA1246524,Networking in Google Cloud Specialization,specializations,https://www.coursera.org/specializations/networking-google-cloud-platform,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~networking-google-cloud-platform/XDP~SPECIALIZATION!~networking-google-cloud-platform.jpeg,762411bf-5508-409a-bb4e-378dacd6e959
CSRA7775622,Two Speed IT How Companies Can Surf the Digital Wave a BCG Perspective,course,https://www.coursera.org/learn/2-speed-it,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~2-speed-it/XDP~COURSE!~2-speed-it.jpeg,21a7a83d-a7e0-4f9a-b782-5870dfde1830
CSRA6449413,Fundamentals of Network Communication,course,https://www.coursera.org/learn/fundamentals-network-communications,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~fundamentals-network-communications/XDP~COURSE!~fundamentals-network-communications.jpeg,2c99aa5c-bce0-4eea-94e4-43742d681c1f
CSRA2292265,Design a User Experience for Social Good & Prepare for Jobs,course,https://www.coursera.org/learn/ux-design-jobs,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~ux-design-jobs/XDP~COURSE!~ux-design-jobs.jpeg,fb1f307a-95bb-467e-a867-7c513496d902
CSRA6716582,Building Database Applications in PHP,course,https://www.coursera.org/learn/database-applications-php,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~database-applications-php/XDP~COURSE!~database-applications-php.jpeg,bf4ecd4d-2a1c-4454-baf0-113477ac2173
CSRA2755878,Web Design: Wireframes to Prototypes,course,https://www.coursera.org/learn/web-design-wireframes-prototypes,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~web-design-wireframes-prototypes/XDP~COURSE!~web-design-wireframes-prototypes.jpeg,7df7c6db-085b-4551-8033-3394a8168450
CSRA3356385,Build Wireframes and Low-Fidelity Prototypes,course,https://www.coursera.org/learn/wireframes-low-fidelity-prototypes,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~wireframes-low-fidelity-prototypes/XDP~COURSE!~wireframes-low-fidelity-prototypes.jpeg,ae95908e-c460-4e30-94c1-0a721636bc2d
CSRA1852583,Introduction to C# Programming and Unity,course,https://www.coursera.org/learn/introduction-programming-unity,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~introduction-programming-unity/XDP~COURSE!~introduction-programming-unity.jpeg,00d9727a-65ed-4ded-913a-6f4c6da904c0
CSRA6419946,Virtual Reality Specialization,specializations,https://www.coursera.org/specializations/virtual-reality,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~virtual-reality/XDP~SPECIALIZATION!~virtual-reality.jpeg,7bb13c66-c1f7-436e-806f-327b8cc8335f
CSRA5362553,C++ Programming for Unreal Game Development Specialization,specializations,https://www.coursera.org/specializations/cplusplusunrealgamedevelopment,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~cplusplusunrealgamedevelopment/XDP~SPECIALIZATION!~cplusplusunrealgamedevelopment.jpeg,e00c03ee-b831-4507-ad36-cfba07dc10d5
CSRA7335756,Game Design and Development with Unity 2020 Specialization,specializations,https://www.coursera.org/specializations/game-design-and-development,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~game-design-and-development/XDP~SPECIALIZATION!~game-design-and-development.jpeg,75701174-2447-4ade-ad50-957bcd9c4261
CSRA2691673,Interaction Design Specialization,specializations,https://www.coursera.org/specializations/interaction-design,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~interaction-design/XDP~SPECIALIZATION!~interaction-design.jpeg,dfea0f57-84f1-44e9-adf7-4065efecd324
CSRA4635433,Digital Product Management Specialization,specializations,https://www.coursera.org/specializations/uva-darden-digital-product-management,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~uva-darden-digital-product-management/XDP~SPECIALIZATION!~uva-darden-digital-product-management.jpeg,4e394a58-baf5-49c1-b67b-b5dc27f7c7ca
CSRA8657174,Web Design for Everybody: Basics of Web Development & Coding Specialization,specializations,https://www.coursera.org/specializations/web-design,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~web-design/XDP~SPECIALIZATION!~web-design.jpeg,f9e2641b-be5a-4560-a1e6-10884d28cdb8
CSRA6346674,Google UX Design Professional Certificate,professional certificates,https://www.coursera.org/professional-certificates/google-ux-design,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~google-ux-design/XDP~SPECIALIZATION!~google-ux-design.jpeg,335831a2-fc38-4b35-8bdd-0d09490d4d9e
CSRA7586137,Foundations of User Experience (UX) Design,course,https://www.coursera.org/learn/foundations-user-experience-design,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~foundations-user-experience-design/XDP~COURSE!~foundations-user-experience-design.jpeg,d0902734-09c5-449d-a194-9a4bfddeadd9
CSRA9624436,Fundamentals of Graphic Design,course,https://www.coursera.org/learn/fundamentals-of-graphic-design,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~fundamentals-of-graphic-design/XDP~COURSE!~fundamentals-of-graphic-design.jpeg,38dfff87-10d8-44c1-84ea-667333b61098
CSRA2378422,HTML CSS and Javascript for Web Developers,course,https://www.coursera.org/learn/html-css-javascript-for-web-developers,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~html-css-javascript-for-web-developers/XDP~COURSE!~html-css-javascript-for-web-developers.jpeg,a4c1cb35-8601-4e02-9445-16187d064682
CSRA4648247,Agile Analytics,course,https://www.coursera.org/learn/uva-darden-agile-analytics,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~uva-darden-agile-analytics/XDP~COURSE!~uva-darden-agile-analytics.jpeg,17a1a029-74ee-44fe-b531-1737bdea8066
CSRA2619597,Building AI Powered Chatbots Without Programming,course,https://www.coursera.org/learn/building-ai-powered-chatbots,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~building-ai-powered-chatbots/XDP~COURSE!~building-ai-powered-chatbots.jpeg,fb1f307a-95bb-467e-a867-7c513496d902
CSRA5354325,Real-World Product Management Specialization,specializations,https://www.coursera.org/specializations/real-world-product-management,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~real-world-product-management/XDP~SPECIALIZATION!~real-world-product-management.jpeg,9ef0c9a1-1134-466f-9375-e5e25345f5cb
CSRA7589766,User Experience Research and Design Specialization,specializations,https://www.coursera.org/specializations/michiganux,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~michiganux/XDP~SPECIALIZATION!~michiganux.jpeg,762411bf-5508-409a-bb4e-378dacd6e959
CSRA3345318,Client Needs and Software Requirements,course,https://www.coursera.org/learn/client-needs-and-software-requirements,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~client-needs-and-software-requirements/XDP~COURSE!~client-needs-and-software-requirements.jpeg,7dddd82f-d3dd-4935-8c3f-d81152e4cacf
CSRA8426257,Evaluating User Interfaces,course,https://www.coursera.org/learn/ui-testing,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~ui-testing/XDP~COURSE!~ui-testing.jpeg,eece3dbd-1350-4ff5-a9c6-0f75ac95019c
CSRA6189121,Introduction to UI Design,course,https://www.coursera.org/learn/ui-design,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~ui-design/XDP~COURSE!~ui-design.jpeg,0f1df4c3-db25-4cad-b2db-c494b1a4e2fa
CSRA1633216,Networking,-,https://www.coursera.org/browse/information-technology/networking,https://s3.amazonaws.com/coursera/media/Grid_Coursera_Partners_updated.png,81fbc7bf-4592-4a48-839f-44337ff68981
CSRA6899658,Fundamentals of Computer Network Security Specialization,specializations,https://www.coursera.org/specializations/computer-network-security,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~computer-network-security/XDP~SPECIALIZATION!~computer-network-security.jpeg,94c11ea3-cc1b-4177-9f1e-f98291a69850
CSRA4294117,Introduction to Networking and Storage,course,https://www.coursera.org/learn/introduction-to-networking-and-storage,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~introduction-to-networking-and-storage/XDP~COURSE!~introduction-to-networking-and-storage.jpeg,81fbc7bf-4592-4a48-839f-44337ff68981
CSRA3585476,Creando una aplicación con Stellar SDK,guided project,https://www.coursera.org/projects/creando-stellar-sdk,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~creando-stellar-sdk/XDP~COURSE!~creando-stellar-sdk.jpeg,b5dd4b0f-8188-45f8-a100-79a47a618784
CSRA5917628,Crea y vende tus NFT en marketplace,guided project,https://www.coursera.org/projects/crea-nft,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~crea-nft/XDP~COURSE!~crea-nft.jpeg,c24f7949-5e04-4e23-baf1-f97ed6864e3c
CSRA2473143,البدء باستخدام برنامج packet tracer,guided project,https://www.coursera.org/projects/albad-biastikhdam-barnamaj-packet-tracer,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~albad-biastikhdam-barnamaj-packet-tracer/XDP~COURSE!~albad-biastikhdam-barnamaj-packet-tracer.jpeg,6faff02d-ce14-4bc8-a0e0-409018866def
CSRA4869963,Diseñando tarjetas de presentación en Adobe Illustrator,guided project,https://www.coursera.org/projects/diseando-tarjetas-de-presentacion-en-adobe-illustrator,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~diseando-tarjetas-de-presentacion-en-adobe-illustrator/XDP~COURSE!~diseando-tarjetas-de-presentacion-en-adobe-illustrator.jpeg,24d120e9-6b0c-47bd-9bde-3077fb7d9d04
CSRA8117149,Computer Security and Systems Management Specialization,specializations,https://www.coursera.org/specializations/computer-security-systems-management,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~computer-security-systems-management/XDP~SPECIALIZATION!~computer-security-systems-management.jpeg,3f41ae6a-6d4d-475a-b851-b0ebe533a5cb
CSRA1457976,Introduction to Cyber Security Specialization,specializations,https://www.coursera.org/specializations/intro-cyber-security,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~intro-cyber-security/XDP~SPECIALIZATION!~intro-cyber-security.jpeg,e00c03ee-b831-4507-ad36-cfba07dc10d5
CSRA9323241,(ISC)² Systems Security Certified Practitioner (SSCP),professional certificates,https://www.coursera.org/professional-certificates/sscp-training,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~sscp-training/XDP~SPECIALIZATION!~sscp-training.jpeg,d1f62f42-d1b2-4862-b382-e1e7517663a6
CSRA9983661,Google IT Support Professional Certificate,professional certificates,https://www.coursera.org/professional-certificates/google-it-support,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~google-it-support/XDP~SPECIALIZATION!~google-it-support.jpeg,b433a023-b8e2-4b22-88e9-f0992e543100
CSRA8527685,Networking in Google Cloud: Defining and Implementing Networks,course,https://www.coursera.org/learn/networking-gcp-defining-implementing-networks,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~networking-gcp-defining-implementing-networks/XDP~COURSE!~networking-gcp-defining-implementing-networks.jpeg,f7d62d7d-1b77-4c1e-8df0-14756de6d6a8
CSRA7951916,Los bits y bytes de las redes informáticas,course,https://www.coursera.org/learn/redes-informaticas,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~redes-informaticas/XDP~COURSE!~redes-informaticas.jpeg,39723e07-04a9-4694-b239-38494ffe7200
CSRA6798998,Estrutura e Funcionamento das Redes de Computadores,course,https://www.coursera.org/learn/redes-computadores,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~redes-computadores/XDP~COURSE!~redes-computadores.jpeg,d77e0e2b-3ebb-4c3b-923d-11179b4f2319
CSRA4235832,Seluk Beluk Jaringan Komputer,course,https://www.coursera.org/learn/seluk-beluk-jaringan-komputer,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~seluk-beluk-jaringan-komputer/XDP~COURSE!~seluk-beluk-jaringan-komputer.jpeg,81fbc7bf-4592-4a48-839f-44337ff68981
CSRA3323133,Networking in Google Cloud 日本語版 Specialization,specializations,https://www.coursera.org/specializations/networking-google-cloud-platform-jp,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~networking-google-cloud-platform-jp/XDP~SPECIALIZATION!~networking-google-cloud-platform-jp.jpeg,50699bcb-dfd2-4d64-8931-02fc969bc67d
CSRA5962316,The Bits and Bytes of Computer Networking,course,https://www.coursera.org/learn/computer-networking,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~computer-networking/XDP~COURSE!~computer-networking.jpeg,c99c8680-2ab3-44df-9102-841898c17dae
CSRA8431411,AWS Cloud Technical Essentials,course,https://www.coursera.org/learn/aws-cloud-technical-essentials,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~aws-cloud-technical-essentials/XDP~COURSE!~aws-cloud-technical-essentials.jpeg,fb1f307a-95bb-467e-a867-7c513496d902
CSRA3233938,Site Reliability Engineering: Measuring and Managing Reliability,course,https://www.coursera.org/learn/site-reliability-engineering-slos,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~site-reliability-engineering-slos/XDP~COURSE!~site-reliability-engineering-slos.jpeg,86861641-ad53-4d4f-9f4b-a437501d8f68
CSRA3915197,Continuous Delivery & DevOps,course,https://www.coursera.org/learn/uva-darden-continous-delivery-devops,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~uva-darden-continous-delivery-devops/XDP~COURSE!~uva-darden-continous-delivery-devops.jpeg,75701174-2447-4ade-ad50-957bcd9c4261
CSRA3634467,Introduction to Hardware and Operating Systems,course,https://www.coursera.org/learn/introduction-to-hardware-and-operating-systems,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~introduction-to-hardware-and-operating-systems/XDP~COURSE!~introduction-to-hardware-and-operating-systems.jpeg,83f29874-6d2c-4616-b683-fde3f02a16cb
CSRA2982223,IT Support Google Professional Certificate,professional certificates,https://www.coursera.org/professional-certificates/sertifikat-it-support-profesional-google,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~sertifikat-it-support-profesional-google/XDP~SPECIALIZATION!~sertifikat-it-support-profesional-google.jpeg,cdd88c91-866e-4beb-93f2-6a8f4a530034
CSRA8977135,Sistem Operasi dan Anda: Menjadi Pengguna yang Berdaya,course,https://www.coursera.org/learn/sistem-operasi-dan-anda-menjadi-pengguna-yang-berdaya,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~sistem-operasi-dan-anda-menjadi-pengguna-yang-berdaya/XDP~COURSE!~sistem-operasi-dan-anda-menjadi-pengguna-yang-berdaya.jpeg,a515b1d7-5397-4d6d-a550-5afbb32a20eb
CSRA2698931,Dasar-Dasar Dukungan Teknis,course,https://www.coursera.org/learn/dasar-dasar-dukungan-teknis,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~dasar-dasar-dukungan-teknis/XDP~COURSE!~dasar-dasar-dukungan-teknis.jpeg,ae95908e-c460-4e30-94c1-0a721636bc2d
CSRA4965752,Fundamentos do Suporte Técnico,course,https://www.coursera.org/learn/fundamentos-do-suporte-tecnico,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~fundamentos-do-suporte-tecnico/XDP~COURSE!~fundamentos-do-suporte-tecnico.jpeg,7df7c6db-085b-4551-8033-3394a8168450
CSRA1935975,Palo Alto Networks Cybersecurity Professional Certificate,professional certificates,https://www.coursera.org/professional-certificates/palo-alto-networks-cybersecurity-fundamentals,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~palo-alto-networks-cybersecurity-fundamentals/XDP~SPECIALIZATION!~palo-alto-networks-cybersecurity-fundamentals.jpeg,51573104-c1be-4243-bc9e-0568e6535903
CSRA9621427,Oracle Cloud Infrastructure Foundations,course,https://www.coursera.org/learn/oraclecloud-infrastructure-foundations,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~oraclecloud-infrastructure-foundations/XDP~COURSE!~oraclecloud-infrastructure-foundations.jpeg,60816959-f8d4-4b50-8217-b4e54feed041
CSRA5847923,Juniper Networks Junos Platform Automation and DevOps Specialization,specializations,https://www.coursera.org/specializations/ijaut,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~ijaut/XDP~SPECIALIZATION!~ijaut.jpeg,2b294c08-4e00-4f21-9106-661e1c7493cd
CSRA4784779,IBM Technical Support  Professional Certificate,professional certificates,https://www.coursera.org/professional-certificates/ibm-technical-support,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~ibm-technical-support/XDP~SPECIALIZATION!~ibm-technical-support.jpeg,75701174-2447-4ade-ad50-957bcd9c4261
CSRA2172124,Technical Support Fundamentals,course,https://www.coursera.org/learn/technical-support-fundamentals,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~technical-support-fundamentals/XDP~COURSE!~technical-support-fundamentals.jpeg,28f6c5bd-6c0e-4553-8164-c2cc794a464b
CSRA9318186,Google IT Automation with Python Professional Certificate,professional certificates,https://www.coursera.org/professional-certificates/google-it-automation,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~google-it-automation/XDP~SPECIALIZATION!~google-it-automation.jpeg,e2836954-3790-44b6-a476-23ccd0a89ae8
CSRA8965338,IBM DevOps and Software Engineering Professional Certificate,professional certificates,https://www.coursera.org/professional-certificates/devops-and-software-engineering,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~devops-and-software-engineering/XDP~SPECIALIZATION!~devops-and-software-engineering.jpeg,1f403dac-7eea-4515-8c5e-a261628df296
CSRA4182747,Crash Course on Python,course,https://www.coursera.org/learn/python-crash-course,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~python-crash-course/XDP~COURSE!~python-crash-course.jpeg,c731397e-f724-4982-bd3d-5f1cc223ced7
CSRA5155419,Enterprise System Management and Security,course,https://www.coursera.org/learn/enterprise-system-management-security,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~enterprise-system-management-security/XDP~COURSE!~enterprise-system-management-security.jpeg,f161de17-67bc-4208-9364-7d6a4e65c663
